day,metric,mean,q025,q975,date,specialty
17,nwm52_total,70,70,70,14/10/2022,ENT
17,nwm78_total,1,1,1,14/10/2022,ENT
17,rtt_maxwt,14,14,14,14/10/2022,ENT
17,rtt_meanwt,4.666666666666667,4.666666666666667,4.666666666666667,14/10/2022,ENT
17,rtt_medianwt,0,0,0,14/10/2022,ENT
17,rtt_nwm78_total,1,1,1,14/10/2022,ENT
17,wl_size,429,429,429,14/10/2022,ENT
18,nwl104_total,0,0,0,15/10/2022,ENT
18,nwl52_total,360,360,360,15/10/2022,ENT
18,nwm104_total,1,1,1,15/10/2022,ENT
18,nwm52_total,70,70,70,15/10/2022,ENT
18,nwm78_total,1,1,1,15/10/2022,ENT
18,rtt_maxwt,0,0,0,15/10/2022,ENT
18,rtt_meanwt,0,0,0,15/10/2022,ENT
18,rtt_medianwt,0,0,0,15/10/2022,ENT
18,rtt_nwm78_total,1,1,1,15/10/2022,ENT
18,wl_size,431,431,431,15/10/2022,ENT
19,nwl104_total,0,0,0,16/10/2022,ENT
19,nwl52_total,365,365,365,16/10/2022,ENT
19,nwm104_total,1,1,1,16/10/2022,ENT
19,nwm52_total,70,70,70,16/10/2022,ENT
19,nwm78_total,1,1,1,16/10/2022,ENT
19,rtt_nwm78_total,1,1,1,16/10/2022,ENT
19,wl_size,436,436,436,16/10/2022,ENT
20,nwl104_total,0,0,0,17/10/2022,ENT
20,nwl52_total,367,367,367,17/10/2022,ENT
20,nwm104_total,1,1,1,17/10/2022,ENT
20,nwm52_total,70,70,70,17/10/2022,ENT
20,nwm78_total,1,1,1,17/10/2022,ENT
20,rtt_nwm78_total,1,1,1,17/10/2022,ENT
20,wl_size,438,438,438,17/10/2022,ENT
21,nwl104_total,0,0,0,18/10/2022,ENT
21,nwl52_total,369,369,369,18/10/2022,ENT
21,nwm104_total,1,1,1,18/10/2022,ENT
21,nwm52_total,70,70,70,18/10/2022,ENT
21,nwm78_total,1,1,1,18/10/2022,ENT
21,rtt_maxwt,3,3,3,18/10/2022,ENT
21,rtt_meanwt,3,3,3,18/10/2022,ENT
21,rtt_medianwt,3,3,3,18/10/2022,ENT
21,rtt_nwm78_total,1,1,1,18/10/2022,ENT
21,wl_size,440,440,440,18/10/2022,ENT
22,nwl104_total,0,0,0,19/10/2022,ENT
22,nwl52_total,364,364,364,19/10/2022,ENT
22,nwm104_total,1,1,1,19/10/2022,ENT
22,nwm52_total,76,76,76,19/10/2022,ENT
22,nwm78_total,1,1,1,19/10/2022,ENT
22,rtt_maxwt,104,104,104,19/10/2022,ENT
22,rtt_meanwt,53.5,53.5,53.5,19/10/2022,ENT
22,rtt_medianwt,53.5,53.5,53.5,19/10/2022,ENT
22,rtt_nwm78_total,1,1,1,19/10/2022,ENT
22,wl_size,441,441,441,19/10/2022,ENT
23,nwl104_total,0,0,0,20/10/2022,ENT
23,nwl52_total,365,365,365,20/10/2022,ENT
23,nwm104_total,1,1,1,20/10/2022,ENT
23,nwm52_total,76,76,76,20/10/2022,ENT
23,nwm78_total,1,1,1,20/10/2022,ENT
23,rtt_maxwt,40,40,40,20/10/2022,ENT
23,rtt_meanwt,14.333333333333334,14.333333333333334,14.333333333333334,20/10/2022,ENT
23,rtt_medianwt,2,2,2,20/10/2022,ENT
23,rtt_nwm78_total,1,1,1,20/10/2022,ENT
23,wl_size,442,442,442,20/10/2022,ENT
24,nwl104_total,0,0,0,21/10/2022,ENT
24,nwl52_total,369,369,369,21/10/2022,ENT
24,nwm104_total,1,1,1,21/10/2022,ENT
24,nwm52_total,76,76,76,21/10/2022,ENT
24,nwm78_total,1,1,1,21/10/2022,ENT
24,rtt_maxwt,2,2,2,21/10/2022,ENT
24,rtt_meanwt,2,2,2,21/10/2022,ENT
24,rtt_medianwt,2,2,2,21/10/2022,ENT
24,rtt_nwm78_total,1,1,1,21/10/2022,ENT
24,wl_size,446,446,446,21/10/2022,ENT
25,nwl104_total,0,0,0,22/10/2022,ENT
25,nwl52_total,370,370,370,22/10/2022,ENT
25,nwm104_total,1,1,1,22/10/2022,ENT
25,nwm52_total,76,76,76,22/10/2022,ENT
25,nwm78_total,1,1,1,22/10/2022,ENT
25,rtt_nwm78_total,1,1,1,22/10/2022,ENT
25,wl_size,447,447,447,22/10/2022,ENT
26,nwl104_total,0,0,0,23/10/2022,ENT
26,nwl52_total,372,372,372,23/10/2022,ENT
26,nwm104_total,1,1,1,23/10/2022,ENT
26,nwm52_total,76,76,76,23/10/2022,ENT
26,nwm78_total,1,1,1,23/10/2022,ENT
26,rtt_nwm78_total,1,1,1,23/10/2022,ENT
26,wl_size,449,449,449,23/10/2022,ENT
27,nwl104_total,0,0,0,24/10/2022,ENT
27,nwl52_total,378,378,378,24/10/2022,ENT
27,nwm104_total,1,1,1,24/10/2022,ENT
27,nwm52_total,76,76,76,24/10/2022,ENT
27,nwm78_total,1,1,1,24/10/2022,ENT
27,rtt_maxwt,12,12,12,24/10/2022,ENT
27,rtt_meanwt,6.333333333333333,6.333333333333333,6.333333333333333,24/10/2022,ENT
27,rtt_medianwt,4,4,4,24/10/2022,ENT
27,rtt_nwm78_total,1,1,1,24/10/2022,ENT
27,wl_size,455,455,455,24/10/2022,ENT
28,nwl104_total,0,0,0,25/10/2022,ENT
28,nwl52_total,379,379,379,25/10/2022,ENT
28,nwm104_total,1,1,1,25/10/2022,ENT
28,nwm52_total,76,76,76,25/10/2022,ENT
28,nwm78_total,1,1,1,25/10/2022,ENT
28,rtt_maxwt,4,4,4,25/10/2022,ENT
28,rtt_meanwt,3.3333333333333335,3.3333333333333335,3.3333333333333335,25/10/2022,ENT
28,rtt_medianwt,4,4,4,25/10/2022,ENT
28,rtt_nwm78_total,1,1,1,25/10/2022,ENT
28,wl_size,456,456,456,25/10/2022,ENT
29,nwl104_total,0,0,0,26/10/2022,ENT
29,nwl52_total,371,371,371,26/10/2022,ENT
29,nwm104_total,1,1,1,26/10/2022,ENT
29,nwm52_total,84,84,84,26/10/2022,ENT
29,nwm78_total,1,1,1,26/10/2022,ENT
29,rtt_maxwt,3,3,3,26/10/2022,ENT
29,rtt_meanwt,2.2,2.2,2.2,26/10/2022,ENT
29,rtt_medianwt,2,2,2,26/10/2022,ENT
29,rtt_nwm78_total,1,1,1,26/10/2022,ENT
29,wl_size,456,456,456,26/10/2022,ENT
30,nwl104_total,0,0,0,27/10/2022,ENT
30,nwl52_total,380,380,380,27/10/2022,ENT
30,nwm104_total,1,1,1,27/10/2022,ENT
30,nwm52_total,84,84,84,27/10/2022,ENT
30,nwm78_total,1,1,1,27/10/2022,ENT
30,rtt_nwm78_total,1,1,1,27/10/2022,ENT
30,wl_size,465,465,465,27/10/2022,ENT
31,nwl104_total,0,0,0,28/10/2022,ENT
31,nwl52_total,382,382,382,28/10/2022,ENT
31,nwm104_total,1,1,1,28/10/2022,ENT
31,nwm52_total,83,83,83,28/10/2022,ENT
31,nwm78_total,1,1,1,28/10/2022,ENT
31,rtt_maxwt,37,37,37,28/10/2022,ENT
31,rtt_meanwt,37,37,37,28/10/2022,ENT
31,rtt_medianwt,37,37,37,28/10/2022,ENT
31,rtt_nwm78_total,1,1,1,28/10/2022,ENT
31,wl_size,466,466,466,28/10/2022,ENT
32,nwl104_total,0,0,0,29/10/2022,ENT
32,nwl52_total,384,384,384,29/10/2022,ENT
32,nwm104_total,1,1,1,29/10/2022,ENT
32,nwm52_total,83,83,83,29/10/2022,ENT
32,nwm78_total,1,1,1,29/10/2022,ENT
32,rtt_maxwt,36,36,36,29/10/2022,ENT
32,rtt_meanwt,25,25,25,29/10/2022,ENT
32,rtt_medianwt,25,25,25,29/10/2022,ENT
32,rtt_nwm78_total,1,1,1,29/10/2022,ENT
32,wl_size,468,468,468,29/10/2022,ENT
33,nwl104_total,0,0,0,30/10/2022,ENT
33,nwl52_total,389,389,389,30/10/2022,ENT
33,nwm104_total,1,1,1,30/10/2022,ENT
33,nwm52_total,83,83,83,30/10/2022,ENT
33,nwm78_total,1,1,1,30/10/2022,ENT
33,rtt_nwm78_total,1,1,1,30/10/2022,ENT
33,wl_size,473,473,473,30/10/2022,ENT
34,nwl104_total,0,0,0,31/10/2022,ENT
34,nwl52_total,388,388,388,31/10/2022,ENT
34,nwm104_total,1,1,1,31/10/2022,ENT
34,nwm52_total,83,83,83,31/10/2022,ENT
34,nwm78_total,1,1,1,31/10/2022,ENT
34,rtt_maxwt,36,36,36,31/10/2022,ENT
34,rtt_meanwt,21,21,21,31/10/2022,ENT
34,rtt_medianwt,21,21,21,31/10/2022,ENT
34,rtt_nwm78_total,1,1,1,31/10/2022,ENT
34,wl_size,472,472,472,31/10/2022,ENT
35,nwl104_total,0,0,0,01/11/2022,ENT
35,nwl52_total,388,388,388,01/11/2022,ENT
35,nwm104_total,1,1,1,01/11/2022,ENT
35,nwm52_total,83,83,83,01/11/2022,ENT
35,nwm78_total,1,1,1,01/11/2022,ENT
35,rtt_maxwt,7,7,7,01/11/2022,ENT
35,rtt_meanwt,7,7,7,01/11/2022,ENT
35,rtt_medianwt,7,7,7,01/11/2022,ENT
35,rtt_nwm78_total,1,1,1,01/11/2022,ENT
35,wl_size,472,472,472,01/11/2022,ENT
36,nwl104_total,0,0,0,02/11/2022,ENT
36,nwl52_total,388,388,388,02/11/2022,ENT
36,nwm104_total,1,1,1,02/11/2022,ENT
36,nwm52_total,87,87,87,02/11/2022,ENT
36,nwm78_total,1,1,1,02/11/2022,ENT
36,rtt_nwm78_total,1,1,1,02/11/2022,ENT
36,wl_size,476,476,476,02/11/2022,ENT
37,nwl104_total,0,0,0,03/11/2022,ENT
37,nwl52_total,393,393,393,03/11/2022,ENT
37,nwm104_total,1,1,1,03/11/2022,ENT
37,nwm52_total,87,87,87,03/11/2022,ENT
37,nwm78_total,1,1,1,03/11/2022,ENT
37,rtt_maxwt,285,285,285,03/11/2022,ENT
37,rtt_meanwt,146.5,146.5,146.5,03/11/2022,ENT
37,rtt_medianwt,146.5,146.5,146.5,03/11/2022,ENT
37,rtt_nwm78_total,1,1,1,03/11/2022,ENT
37,wl_size,481,481,481,03/11/2022,ENT
38,nwl104_total,0,0,0,04/11/2022,ENT
38,nwl52_total,395,395,395,04/11/2022,ENT
38,nwm104_total,1,1,1,04/11/2022,ENT
38,nwm52_total,87,87,87,04/11/2022,ENT
38,nwm78_total,1,1,1,04/11/2022,ENT
38,rtt_maxwt,9,9,9,04/11/2022,ENT
38,rtt_meanwt,9,9,9,04/11/2022,ENT
38,rtt_medianwt,9,9,9,04/11/2022,ENT
38,rtt_nwm78_total,1,1,1,04/11/2022,ENT
38,wl_size,483,483,483,04/11/2022,ENT
39,nwl104_total,0,0,0,05/11/2022,ENT
39,nwl52_total,397,397,397,05/11/2022,ENT
39,nwm104_total,1,1,1,05/11/2022,ENT
39,nwm52_total,87,87,87,05/11/2022,ENT
39,nwm78_total,1,1,1,05/11/2022,ENT
39,rtt_nwm78_total,1,1,1,05/11/2022,ENT
39,wl_size,485,485,485,05/11/2022,ENT
40,nwl104_total,0,0,0,06/11/2022,ENT
40,nwl52_total,396,396,396,06/11/2022,ENT
40,nwm104_total,1,1,1,06/11/2022,ENT
40,nwm52_total,86,86,86,06/11/2022,ENT
40,nwm78_total,1,1,1,06/11/2022,ENT
40,rtt_maxwt,10,10,10,06/11/2022,ENT
40,rtt_meanwt,10,10,10,06/11/2022,ENT
40,rtt_medianwt,10,10,10,06/11/2022,ENT
40,rtt_nwm78_total,1,1,1,06/11/2022,ENT
40,wl_size,483,483,483,06/11/2022,ENT
